station_name	time_arrive	time_depart
Badulla		20700
Haliela	21600	21660
Uduwara	22140	22200
Demodara	22980	23040
Elle	23940	24000
Kital Elle	24300	24360
Heel Oya	24840	24900
Kinigama	25440	25500
Bandarawela	25860	26040
Diyatalawa	26880	26940
Haputale	27660	27780
Idalgasinna	28740	28800
Ohiya	30000	30060
Pattipola	30960	31020
Ambewela	31500	31560
Perakumpura	32700	32760
Nanuoya	33360	33720
Radella	34200	34260
Great Western	34740	34800
Watagoda	35520	35580
Talawakele	36480	36720
Kotagala	37500	37560
Hatton	38220	38700
Rosella	39600	40200
Ihalawatawala	40680	40740
Watawala	41040	41100
Galaboda	42120	42180
Inguruoya	42840	42900
Nawalapitiya	43560	43800
Ulapane	44520	44580
Gampola	45300	45360
Kandy	46980	47400
Sarasaviuyana	47820	47880
Peradeniya	48000	48060
Pilimatalawa	48600	48660
Kadugannawa	49020	49080
Rambukkana	51420	51540
Polgahawela	52200	52260
Veyangoda	54060	54120
Gampaha	54720	54780
Ragama	55560	55620
Colombo Fort	55620	
