station_name	time_arrive	time_depart
Padukka		19800
Wataraka	20160	20220
Meegoda	20400	20460
Godagama	20700	20760
Panagoda	20940	21000
Homagama	21180	21240
Homagama Hospital	21360	21420
Malapalle	21660	21720
Kottawa	21900	21960
Pannipitiya	22200	22260
Maharagama	22560	22680
Nawinna	22800	22860
Udhamulla	23040	23100
Pangiriwatta	23220	23280
Nugegoda	23460	23580
Kirulapana	23820	23400
Narahenpita	24120	24240
Cotta Road	24480	24540
Baseline Road	24840	24900
Colombo Fort	25500	
